ORF	hap alpha | growth (culture turbidity) | standard | MM + (H–L)HKU + Trp | Cai H~Becker JM, 2006
YJL066C	1.113
YLL032C	0.873
YDR424C	1.111
YLR342W	1.066
YFR049W	0.874
YBR218C	1.382
YKL079W	1.145
YOR099W	1.005
YLL039C	1.308
YGR117C	1.117
YNL220W	0.081
YNR031C	0.935
YOR027W	1.013
YHR158C	0.999
YPL254W	1.008
YER143W	1.006
YCR060W	0.828
YAL040C	1.501
YBL098W	1.776
YPL030W	1.306
YDR448W	0.892
YCL074W	1.105
YHR130C	0.623
YDR003W	1.433
YEL039C	1.259
YMR163C	1.145
YOL023W	1.151
YLL018C-A	0.830
YJR018W	0.691
YEL010W	1.259
YGR286C	0.920
YOR090C	1.089
YNR013C	0.784
YMR115W	1.046
YLR375W	1.053
YLR447C	0.669
YOR226C	1.074
YER103W	1.064
YGL224C	0.754
YDR359C	0.984
YGL148W	0.013
YKL201C	1.976
YPR040W	1.307
YBR222C	0.829
YOL004W	0.712
YDR459C	0.849
YPL034W	1.454
YNL326C	1.347
YHR146W	0.807
YOL012C	0.546
YDL137W	1.238
YER137C	0.151
YPR123C	1.070
YOR212W	1.038
YKR021W	3.079
YAL066W	0.321
YML066C	0.952
YKR084C	1.099
YOR153W	0.975
YIL101C	1.144
YOL044W	1.421
YJR008W	0.919
YDR349C	0.817
YPR125W	1.094
YLR219W	1.034
YPL256C	1.067
YMR038C	0.628
YMR019W	1.592
YGR203W	1.140
YOL045W	1.133
YPR014C	0.876
YNR072W	1.101
YGR235C	1.056
YNL325C	0.904
YNL145W	1.441
YJR154W	1.613
YPL036W	1.008
YDR312W	1.171
YNR050C	1.028
YJR021C	0.786
YLR237W	1.037
YKL150W	1.427
YKL170W	0.493
YJL148W	1.136
YJL147C	1.077
YDL049C	1.086
YOR164C	1.157
YPL068C	0.964
YLR209C	0.937
YGL039W	1.622
YFL040W	0.702
YPL080C	0.327
YPR116W	0.921
YGR003W	1.086
YHR001W-A	0.516
YMR191W	1.153
YLR426W	1.040
YBR272C	1.131
YMR169C	1.109
YOR267C	1.321
YAL028W	0.892
YLR200W	0.457
YGR017W	0.950
YBR289W	0.218
YER001W	1.084
YKL041W	1.157
YNL217W	0.861
YIL166C	0.870
YMR130W	1.081
YPL019C	1.032
YPR042C	0.633
YML072C	1.207
YGL064C	0.854
YER010C	0.916
YDL183C	0.971
YPL057C	1.306
YMR303C	1.489
YDL122W	0.921
YOR017W	0.962
YMR107W	1.071
YNL230C	2.383
YLR306W	1.046
YPL171C	0.652
YDL034W	1.421
YDR152W	1.199
YBR071W	1.336
YBR116C	1.171
YJL012C	1.008
YNL250W	1.061
YBR058C	0.119
YNL255C	0.932
YDL144C	1.143
YOL056W	1.215
YPR156C	0.929
YJL145W	1.162
YDR179C	1.086
YJR026W	0.566
YBL067C	0.940
YDL013W	0.799
YJR001W	0.959
YJL003W	1.430
YPR141C	0.854
YNL199C	0.457
YNR008W	0.792
YBL006C	0.886
YPL198W	1.059
YBR168W	1.120
YOL032W	1.012
YMR150C	0.993
YDR351W	1.008
YLR126C	0.859
YKL031W	0.793
YDL080C	0.799
YLR437C	0.999
YPR009W	1.792
YOR356W	1.078
YJR106W	0.920
YIL092W	1.346
YHR032W	0.920
YMR016C	0.941
YJR122W	0.238
YER129W	1.134
YJR127C	0.635
YDR411C	0.773
YJR060W	0.163
YPR138C	1.061
YDR154C	0.771
YOR165W	1.340
YMR297W	1.046
YMR160W	1.172
YNL242W	1.635
YDL138W	1.196
YBR130C	1.295
YBR021W	0.363
YMR035W	1.174
YDR426C	0.834
YNR029C	0.814
YLL007C	0.824
YJL213W	1.222
YOL143C	0.071
YPL178W	1.011
YDR358W	1.140
YPL056C	1.466
YDR400W	1.116
YHR207C	1.273
YNL273W	1.207
YFL050C	1.330
YOL126C	0.847
YNL323W	0.832
YPL247C	1.081
YML047C	1.154
YHL043W	1.309
YPR195C	1.017
YJR098C	1.002
YNR040W	0.660
YPR097W	0.900
YHR008C	1.348
YML087C	1.220
YOR118W	1.111
YLR332W	0.796
YIL008W	1.319
YLR180W	0.807
YIL018W	0.286
YGR184C	0.693
YDR031W	1.393
YGL105W	0.945
YMR264W	1.503
YJL023C	1.213
YER074W	0.818
YNL116W	1.028
YIL067C	0.706
YLL013C	0.556
YNL335W	1.387
YJL206C-A	2.008
YDR162C	0.979
YBR068C	1.139
YLR451W	0.677
YGL255W	1.554
YIL128W	0.333
YIL117C	0.648
YBR147W	0.921
YPL073C	1.412
YNL076W	0.794
YPL023C	0.755
YKL048C	0.770
YPR004C	0.991
YPL054W	1.258
YLR282C	0.572
YDR250C	0.933
YGL014W	1.031
YER179W	1.068
YLR190W	0.744
YLR108C	1.002
YFR031C-A	1.015
YGR243W	1.123
YMR189W	0.058
YDR248C	0.309
YOR162C	0.914
YGR100W	0.892
YKL206C	2.396
YFR043C	1.040
YCR014C	0.952
YKR056W	0.698
YMR273C	0.723
YGR039W	0.787
YPL257W	1.007
YMR245W	0.654
YHR030C	0.781
YNL142W	1.108
YIL159W	0.924
YDR151C	0.792
YGR135W	0.636
YCL029C	0.698
YCR087C-A	0.977
YOR241W	0.052
YBL009W	0.812
YLR292C	0.554
YAL009W	1.152
YDR257C	0.556
YML033W	0.651
YLR097C	1.503
YCR094W	0.193
YOL049W	0.083
YGL163C	0.687
YER158C	0.871
YGL070C	0.783
YMR222C	1.484
YNL146W	1.270
YDL044C	0.866
YKL130C	0.907
YIL094C	0.854
YOL042W	1.109
YMR067C	0.976
YHR127W	1.334
YPL058C	1.481
YMR170C	1.085
YJR097W	0.966
YNR022C	1.092
YJL216C	1.163
YIL015C-A	1.075
YJR061W	1.179
YLR402W	0.969
YOL011W	0.965
YGR180C	0.442
YDL204W	0.473
YKR093W	0.668
YGL036W	0.874
YDL240W	1.275
YOR312C	0.715
YMR299C	0.805
YJL100W	1.116
YOR032C	1.141
YPL041C	1.041
YIR023W	0.113
YPL013C	1.214
YNL225C	1.429
YIL137C	1.077
YCL076W	1.099
YAL065C	0.972
YOL122C	0.934
YLR003C	1.074
YER177W	0.901
YDL026W	0.968
YCR044C	1.653
YPL236C	0.942
YKL067W	1.018
YBL010C	0.830
YJL162C	0.997
YJR107W	0.875
YNL014W	0.696
YDR006C	0.986
YLR264W	2.224
YGR173W	1.108
YLR348C	0.846
YCR011C	0.793
YOR324C	1.107
YLR414C	0.777
YDR348C	1.017
YBL046W	0.654
YJL217W	1.142
YIL090W	1.116
YHR198C	1.233
YCR102C	1.401
YER048C	0.781
YGR220C	0.925
YPL017C	1.115
YJR090C	1.217
YIR009W	1.130
YBR195C	1.048
YER180C	1.076
YML037C	1.575
YKL098W	1.111
YER163C	0.877
YER058W	1.007
YPL055C	1.187
YHR176W	1.212
YPR050C	1.041
YKR018C	1.417
YJR147W	1.393
YOR191W	0.734
YJR063W	1.285
YGR295C	0.990
YJL201W	0.120
YDL175C	0.667
YLR048W	1.454
YPL108W	1.011
YLR014C	0.673
YDL067C	1.259
YBR297W	1.017
YNL050C	1.016
YDL048C	0.925
YAL068C	0.288
YJL021C	1.212
YOR022C	0.978
YDR296W	0.642
YOR150W	1.226
YHR009C	1.318
YOL067C	0.810
YHR033W	1.148
YGR199W	1.058
YFL006W	1.198
YGR104C	1.080
YDR055W	1.055
YDR421W	1.083
YDL170W	0.502
YNL259C	1.380
YDR290W	0.172
YDR051C	1.215
YKR017C	1.690
YDR360W	1.335
YBR056W	1.347
YJL212C	1.549
YMR101C	1.006
YLR423C	0.594
YER120W	1.112
YBR077C	1.511
YFR055W	0.907
YDL230W	1.423
YDR501W	1.082
YJR091C	0.941
YNR024W	0.743
YIR021W	0.927
YJL197W	1.160
YOL046C	1.252
YLR392C	1.464
YDR402C	1.041
YKL051W	1.034
YKL204W	0.745
YDR226W	0.173
YDL081C	0.594
YHR109W	1.353
YBR042C	0.690
YOR198C	1.072
YMR120C	0.856
YAL060W	1.015
YNR023W	0.072
YOR021C	0.970
YPR193C	0.980
YDL115C	0.952
YDL184C	0.942
YOR097C	0.992
YFR007W	1.154
YDL107W	1.047
YDL181W	0.736
YLR338W	2.432
YBR014C	1.128
YOR347C	0.993
YDL190C	1.507
YNL084C	1.117
YBR114W	0.941
YPR026W	1.201
YOR036W	0.121
YDR340W	0.996
YDL133W	1.025
YDR019C	0.929
YPL104W	0.851
YDR049W	1.264
YOR339C	1.283
YAR029W	1.591
YPL127C	1.015
YJR137C	0.373
YJL117W	1.121
YDL174C	0.574
YCL006C	0.866
YDR512C	0.945
YML024W	0.218
YJR056C	1.374
YML035C-A	1.162
YOL124C	1.049
YLR032W	0.897
YHR133C	0.991
YIL110W	0.955
YFR001W	-0.112
YDR175C	1.059
YGR231C	0.814
YPR076W	1.304
YDR204W	1.175
YBR005W	0.799
YKR089C	1.114
YLR460C	0.995
YER040W	1.896
YER087C-A	0.991
YOL017W	1.150
YLR053C	0.658
YDR186C	0.756
YML009C	1.046
YFL021W	0.638
YBR191W	0.162
YPR089W	1.536
YNR065C	1.128
YBR090C	1.235
YNL141W	1.260
YPL163C	1.165
YGL243W	0.828
YML010W-A	0.930
YGL043W	0.765
YER039C	0.694
YPR098C	0.769
YHR092C	0.896
YBR267W	0.488
YBL002W	1.199
YBR023C	0.514
YNL283C	1.558
YEL037C	0.382
YDR129C	1.926
YJR003C	1.128
YMR023C	0.451
YMR152W	1.503
YMR244C-A	0.583
YGR217W	0.843
YHL045W	1.165
YOR333C	0.747
YNR055C	1.201
YHR103W	1.032
YJR139C	0.036
YOR205C	0.983
YJL096W	1.392
YGR014W	1.076
YLR099C	0.628
YDL159W	0.922
YOR313C	0.971
YPR201W	1.096
YER089C	1.228
YBL003C	1.308
YJR133W	1.007
YNL032W	0.806
YLR093C	0.654
YJR005W	0.934
YPL107W	0.642
YDL096C	1.435
YDR467C	0.810
YEL012W	1.448
YPL008W	1.003
YMR237W	0.638
YMR086W	1.015
YML014W	0.958
YLR191W	1.007
YGL135W	0.116
YLL017W	0.964
YHL037C	1.533
YGR143W	1.090
YLR371W	1.380
YGR206W	1.227
YPR054W	1.019
YNL328C	1.207
YDL186W	1.005
YOL092W	1.060
YBR041W	0.962
YFR022W	0.827
YML067C	1.148
YJL088W	0.021
YDL039C	1.732
YPR001W	1.003
YFL026W	1.096
YHR162W	1.115
YIL052C	1.700
YOR215C	0.701
YDR237W	2.460
YHR003C	1.115
YBR144C	1.633
YJR134C	0.732
YFL051C	1.056
YCR025C	0.692
YKL160W	0.135
YIR007W	1.212
YOR279C	1.637
YGR070W	0.862
YDL018C	0.889
YBR279W	0.328
YEL064C	1.093
YCR053W	0.056
YLR311C	0.519
YBR240C	0.960
YMR039C	-0.063
YMR178W	1.082
YOR026W	1.037
YBL019W	1.011
YNL121C	1.072
YKL168C	0.955
YKL053C-A	0.785
YDR068W	0.456
YGR061C	0.099
YGR152C	1.039
YOR052C	1.171
YGR084C	1.063
YOL116W	1.547
YLR388W	0.633
YOL085C	1.023
YLR327C	1.043
YBL031W	0.579
YPL213W	0.853
YNL241C	0.438
YNR075W	1.149
YNL269W	1.037
YCL001W	0.757
YER044C-A	1.434
YMR176W	1.017
YBR255W	0.685
YER066W	1.003
YCR049C	0.827
YOR355W	0.873
YML036W	0.489
YDR108W	1.160
YGR109C	0.638
YLR239C	0.155
YOR234C	0.695
YDL106C	1.559
YGR062C	1.119
YNL071W	0.131
YPR071W	1.152
YBR176W	0.855
YBR010W	1.593
YIL007C	1.146
YDR293C	3.969
YDR066C	0.956
YLR102C	0.265
YIL116W	0.680
YDR058C	1.594
YKR003W	1.026
YER067C-A	1.198
YGR275W	0.962
YDL093W	1.086
YCR077C	2.035
YKL188C	1.400
YKL047W	1.078
YOL019W	1.229
YMR085W	0.860
YNR069C	1.324
YGR063C	0.355
YGR165W	0.790
YOR225W	0.369
YML048W-A	0.490
YMR177W	0.903
YLR284C	0.591
YGL152C	1.079
YKL211C	0.372
YOL129W	1.154
YJR055W	1.067
YOR096W	1.151
YBR271W	1.150
YOR029W	0.968
YGR256W	0.950
YMR244W	0.748
YCL075W	1.085
YJL129C	0.458
YPL090C	1.023
YBL065W	0.818
YOR309C	1.169
YGR133W	0.959
YPR062W	-0.032
YGL051W	1.191
YBR051W	1.334
YDR318W	0.860
YPR124W	1.049
YER175C	1.024
YOL051W	0.685
YER017C	0.551
YML071C	0.741
YMR195W	1.332
YPL048W	0.968
YMR004W	1.436
YDR286C	0.640
YKL068W	0.433
YDR295C	0.676
YDL201W	0.723
YLR080W	1.183
YGL179C	0.800
YJL177W	1.323
YNL265C	1.383
YDR218C	0.665
YKL222C	0.654
YGL003C	0.537
YER014C-A	0.009
YBR083W	1.036
YLR113W	1.003
YGR134W	1.073
YOL047C	1.206
YLR449W	0.908
YKR080W	0.631
YGL210W	0.570
YER170W	0.947
YKL166C	0.996
YML101C	0.976
YLR297W	0.478
YMR174C	1.184
YML079W	1.151
YML117W-A	1.096
YLR385C	0.778
YER128W	1.115
YDL046W	1.031
YAL013W	1.223
YKL009W	1.066
YCL060C	0.971
YOR008C-A	1.066
YOL050C	1.533
YBR209W	1.474
YOR177C	1.107
YBR043C	0.874
YOL071W	1.133
YKL056C	1.163
YPL258C	1.023
YLR118C	1.571
YCL061C	1.196
YMR070W	1.002
YLL053C	1.176
YPL029W	1.191
YOR386W	1.007
YJR039W	0.885
YNL300W	0.761
YBR105C	1.607
YML007W	-0.065
YER077C	1.076
YBR290W	1.465
YDR197W	1.056
YOR167C	0.953
YNL279W	0.911
YJL070C	0.915
YCL033C	0.854
YLR235C	1.025
YKR051W	0.415
YGL062W	0.732
YJL038C	0.814
YOL027C	1.122
YDR146C	1.904
YMR090W	1.327
YOR357C	1.842
YER046W-A	1.045
YPR117W	0.903
YER024W	1.255
YOR242C	0.924
YBR157C	1.094
YOR155C	0.965
YGR151C	0.873
YOR280C	0.853
YKL076C	1.059
YBR241C	0.962
YMR100W	1.876
YJR073C	0.154
YGL176C	1.009
YDR264C	1.334
YMR182C	1.743
YKL128C	1.133
YJL146W	0.907
YMR136W	1.079
YGL095C	0.343
YOR358W	1.049
YBR057C	1.370
YNR032C-A	1.290
YDR379W	0.959
YHL034C	1.512
YLL057C	1.078
YDL151C	2.185
YMR041C	0.649
YPL047W	1.484
YBR283C	0.961
YCR063W	0.853
YOR089C	0.455
YGL153W	1.108
YLL048C	1.558
YOL036W	0.828
YLR111W	1.045
YBL039C	1.276
YGR053C	0.972
YPL248C	1.008
YMR017W	1.232
YPL212C	0.815
YKR097W	0.961
YDR534C	1.237
YOR201C	0.923
YGL033W	0.911
YGR088W	0.889
YML113W	1.351
YGL197W	1.796
YLR018C	1.206
YPR135W	0.905
YBR065C	0.809
YJR047C	0.598
YLR288C	0.562
YGR247W	1.066
YDL082W	0.799
YPL070W	1.023
YHR140W	1.153
YHL041W	2.302
YGR261C	1.103
YDR425W	0.914
YOR111W	0.826
YHR064C	1.224
YJR116W	1.103
YCR073W-A	1.884
YDR147W	1.053
YCL028W	0.817
YPR130C	0.915
YIR002C	1.312
YLR098C	1.100
YNL237W	1.599
YOR035C	0.780
YER005W	0.924
YOR266W	0.935
YBL058W	1.321
YPL202C	0.985
YMR159C	0.982
YPR075C	1.096
YIL136W	0.900
YPL066W	0.417
YOL136C	1.201
YMR243C	0.631
YGR192C	0.329
YOR005C	1.345
YIL123W	1.208
YGL066W	1.405
YBR025C	0.508
YKL149C	1.618
YBR098W	1.038
YCR002C	0.134
YBR269C	1.199
YPR166C	1.296
YKR102W	0.889
YJR035W	0.867
YPL015C	1.396
YER045C	1.118
YNL195C	0.137
YDR083W	0.712
YOL086C	1.023
YER019W	0.551
YDR536W	0.984
YOR385W	0.913
YHL006C	1.748
YML124C	1.351
YER081W	1.126
YMR154C	1.525
YDR266C	0.696
YNL010W	0.695
YNL025C	1.268
YJR010W	0.010
YMR194W	1.202
YGR224W	0.989
YPR077C	1.228
YLR358C	0.937
YLR254C	0.916
YIL069C	0.159
YNL304W	0.886
YDR363W-A	0.590
YLR247C	1.317
YJR094W-A	1.598
YIL039W	1.030
YPR131C	1.129
YDR261C	1.924
YML097C	-0.040
YCL011C	0.851
YFL023W	0.681
YNL218W	1.464
YJL084C	1.749
YML042W	1.415
YGR059W	1.008
YDL177C	0.257
YCR066W	1.069
YNL224C	0.668
YDR222W	0.617
YOL018C	0.836
YAR050W	1.086
YKL143W	1.206
YJL037W	0.815
YCR034W	0.557
YPL060W	1.278
YOL113W	0.743
YNL229C	3.093
YOL062C	1.056
YPR147C	0.710
YLR309C	0.653
YDR322W	1.039
YBR245C	0.775
YJL093C	1.042
YBL079W	1.223
YPL092W	1.060
YOR141C	1.763
YNR034W	0.913
YBR117C	1.157
YBR046C	0.365
YOR121C	1.228
YJR124C	0.887
YIL005W	1.753
YGL004C	1.060
YKL081W	0.869
YNL155W	0.508
YKR087C	1.276
YJR074W	1.159
YDR253C	0.345
YJL063C	1.333
YGR181W	1.062
YOR134W	1.043
YKL174C	0.882
YER044C	0.800
YIL057C	1.265
YKL044W	0.933
YDR059C	0.997
YMR180C	0.970
YML123C	1.066
YJL215C	0.877
YOR214C	1.509
YGR214W	0.281
YBL037W	1.254
YKL007W	1.044
YFR017C	1.000
YNR044W	1.107
YDR330W	1.480
YER086W	0.179
YIL131C	1.053
YGR066C	1.045
YJL102W	1.444
YGR032W	0.999
YBR129C	1.338
YGR262C	0.048
YEL065W	1.042
YOR374W	0.923
YBR287W	1.027
YLR128W	1.203
YLR307W	0.752
YDL232W	1.373
YLL016W	1.189
YPR013C	1.417
YHR051W	0.710
YOR384W	0.985
YDR282C	1.236
YBR156C	0.421
YGR284C	0.744
YLR059C	0.737
YDR033W	1.046
YML100W	0.580
YNR070W	1.138
YNL046W	1.112
YLR303W	0.212
YOR127W	0.751
YFR023W	1.004
YER068W	2.851
YBR171W	0.913
YBR127C	0.531
YGR055W	1.197
YPL192C	1.157
YDR441C	0.906
YBR104W	1.484
YAL042W	0.969
YDR194C	1.723
YMR320W	0.876
YDR103W	0.664
YLR279W	0.332
YOR001W	1.231
YGR054W	1.292
YBL087C	0.684
YDR451C	1.026
YMR183C	0.674
YGL089C	1.068
YPR065W	1.465
YIL141W	1.610
YFL044C	0.870
YDR500C	1.457
YDR372C	0.685
YAL008W	1.223
YLR319C	1.039
YER186C	0.870
YDR310C	4.359
YBR053C	1.324
YBR007C	0.641
YDR176W	1.283
YBL062W	0.734
YFL027C	1.395
YPR167C	0.259
YER185W	0.800
YDL243C	1.155
YNL198C	1.087
YHR073W	1.309
YLR090W	0.747
YOR248W	0.980
YML068W	1.053
YKR036C	1.027
YGL012W	0.746
YCR022C	0.860
YOR344C	1.281
YMR097C	1.051
YOR220W	0.873
YDR539W	1.012
YPL166W	0.868
YIL009C-A	0.230
YNL016W	0.818
YOL029C	0.997
YNL108C	1.074
YJL123C	0.703
YBR213W	0.062
YBR220C	1.231
YKL183W	0.764
YGL072C	1.110
YBR148W	0.854
YLR455W	0.878
YPL191C	1.141
YNL333W	1.035
YDR533C	1.195
YNL035C	1.026
YOR238W	0.970
YJR010C-A	0.423
YML063W	1.414
YLR185W	0.740
YDL136W	0.975
YPL141C	1.610
YOL076W	1.013
YIL158W	1.215
YCR091W	1.148
YOR166C	1.130
YAL059W	0.861
YNL097C	0.277
YLR216C	1.181
YOL125W	0.179
YER093C-A	0.984
YBR050C	1.400
YHL036W	1.339
YER039C-A	1.012
YDR210W	1.337
YKL121W	0.833
YCR020C	1.100
YMR283C	1.172
YER161C	1.015
YCL039W	0.697
YPL112C	1.225
YBR251W	0.932
YNL236W	0.772
YJL053W	-0.102
YNL205C	-0.198
YKR055W	1.413
YLR421C	0.846
YOR091W	1.079
YAL023C	1.055
YOL028C	0.983
YJL187C	1.985
YOR050C	1.040
YDR159W	1.248
YBR189W	0.200
YMR253C	1.056
YPR067W	0.443
YHR022C	1.116
YGL082W	0.903
YDR494W	1.100
YOR114W	1.300
YMR256C	0.664
YIL066C	0.685
YLR331C	0.860
YKL029C	0.743
YOR298C-A	1.009
YOR019W	0.825
YPL196W	1.104
YLL019C	1.456
YDR399W	1.196
YJL027C	1.240
YLL045C	1.274
YER150W	1.118
YCR006C	1.695
YGR166W	1.135
YER106W	1.080
YNL117W	0.780
YIL168W	1.313
YOL048C	1.052
YMR053C	0.900
YMR141C	1.590
YDL216C	1.162
YBR227C	1.054
YPR155C	0.997
YOR185C	1.221
YAL034C	1.245
YGL162W	0.983
YDL022W	1.373
YOR263C	1.429
YBR239C	1.012
YNL125C	1.256
YBL057C	0.880
YGL157W	1.242
YER152C	1.250
YBR293W	1.117
YOR330C	0.747
YFR030W	0.119
YIR020W-B	0.945
YDR462W	0.860
YPR122W	0.987
YPR157W	1.233
YHR093W	1.058
YER046W	0.891
YAR027W	1.467
YDL065C	1.539
YBR139W	1.397
YFL001W	1.336
YJL183W	0.853
YOL025W	1.255
YFL030W	1.302
YDR391C	1.072
YGL244W	0.945
YDR474C	1.094
YDL027C	0.996
YNR063W	1.029
YIL156W	0.910
YOR040W	1.414
YIL122W	1.161
YDR174W	0.944
YGL218W	1.408
YHR029C	0.387
YPL002C	1.393
YMR022W	1.254
YHL007C	2.363
YGR019W	0.979
YDR126W	1.099
YDR461W	1.182
YFR046C	0.638
YPR163C	1.468
YPL272C	1.117
YLR390W	0.839
YHR136C	1.112
YOR195W	1.267
YMR310C	1.070
YLR333C	0.973
YDR522C	1.302
YBL044W	0.896
YMR135W-A	1.493
YGL250W	0.771
YJL133W	0.712
YGL124C	0.689
YPR134W	0.925
YDR456W	0.660
YPR090W	0.949
YNL083W	1.138
YHR061C	1.155
YOR299W	1.002
YPR114W	1.186
YLR315W	0.462
YJL128C	0.945
YDR200C	0.612
YDR443C	1.596
YMR075C-A	1.427
YIL077C	1.212
YNR061C	0.933
YPL176C	1.092
YJL200C	1.202
YIL012W	0.883
YGL046W	1.221
YLR020C	0.626
YJL149W	0.844
YBR162C	1.539
YDR392W	0.265
YML027W	1.137
YNL329C	1.417
YGL088W	1.288
YPR002W	0.937
YOR015W	0.872
YJL073W	1.491
YPL005W	0.789
YAL002W	0.378
YLR448W	0.530
YKR046C	0.894
YHL040C	1.623
YLL027W	0.062
YJR082C	1.478
YKL106W	0.844
YBL104C	1.077
YMR083W	0.807
YLR255C	1.099
YJL065C	1.377
YCL038C	0.971
YNR047W	0.963
YGR031W	1.296
YGR159C	0.503
YPL184C	1.083
YFR036W	0.975
YGR228W	0.898
YKR073C	1.211
YFR021W	1.203
YIL087C	0.745
YOR320C	0.991
YIL140W	1.030
YHR203C	1.078
YMR058W	0.283
YIL139C	1.040
YDR124W	0.663
YMR119W-A	1.161
YIL032C	0.872
YJR058C	1.317
YJL198W	0.632
YBR177C	1.304
YDR406W	1.044
YLR217W	1.120
YER154W	0.428
YOR273C	0.896
YIR026C	1.194
YBR095C	0.342
YDR283C	1.589
YDR202C	0.850
YKL207W	2.504
YMR007W	0.597
YGR259C	0.840
YLL006W	0.472
YDL078C	1.004
YER139C	1.057
YOR008C	0.643
YDR323C	0.826
YMR262W	1.054
YOR290C	0.250
YPL216W	1.112
YLR404W	1.140
YMR312W	1.116
YDR357C	0.951
YKL063C	0.679
YOR131C	1.049
YIL045W	1.123
YHR131C	1.389
YKL156W	1.112
YNL288W	1.265
YKR076W	0.844
YPR192W	1.082
YKL151C	1.009
YGL136C	0.845
YGL251C	0.333
YKL050C	0.989
YLR199C	0.976
YDR518W	0.909
YPL102C	1.511
YNL327W	1.044
YKR014C	1.789
YAL005C	0.750
YPL172C	0.395
YER063W	1.203
YML115C	1.026
YER011W	1.088
YPL098C	0.282
YDR120C	0.058
YMR153W	1.286
YNL041C	0.325
YLR183C	1.101
YGL058W	0.083
YOL053C-A	1.188
YKR094C	0.602
YHR044C	1.140
YER187W	0.908
YNL214W	6.346
YJR050W	0.337
YPL187W	0.806
YAR015W	0.203
YGR122W	1.431
YDR206W	0.885
YOL105C	1.456
YOR199W	0.971
YPL091W	1.018
YKL215C	1.063
YDR158W	0.167
YDR326C	1.543
YMR172W	1.070
YAL056W	0.748
YLR433C	1.012
YLR354C	0.809
YLR356W	1.251
YNL243W	0.281
YCL037C	1.307
YMR179W	0.905
YBR063C	1.497
YDR528W	0.877
YBR286W	1.509
YML021C	1.217
YBL088C	0.734
YKR085C	0.896
YGL254W	1.521
YPL119C	1.005
YKL016C	0.755
YJL144W	1.057
YGL252C	0.932
YAL048C	1.219
YJL135W	1.165
YAR028W	1.484
YJR077C	0.535
YHR195W	1.308
YMR204C	0.919
YGR050C	1.119
YPL244C	0.943
YLL021W	1.323
YDR034C	0.925
YAL054C	1.166
YBR073W	0.613
YGL118C	1.183
YLR280C	1.060
YBR299W	1.327
YPL140C	0.493
YHL028W	1.209
YBR067C	1.097
YKL212W	0.000
YER131W	1.327
YFR032C-A	0.882
YLR120C	1.075
YMR194C-A	0.946
YGL198W	1.392
YGL084C	1.254
YDR482C	0.849
YFR040W	0.555
YPR039W	0.878
YBR215W	0.684
YPR199C	1.052
YDR216W	1.333
YDL203C	0.966
YOL090W	1.228
YMR307W	1.014
YNL190W	-0.014
YKL005C	0.908
YJL164C	0.856
YBR034C	0.144
YGR196C	0.582
YJR102C	1.532
YNR020C	0.789
YLL038C	0.665
YDR072C	1.248
YLR024C	2.784
YDL035C	1.562
YML121W	0.971
YDL124W	1.188
YDR073W	0.565
YGL151W	0.897
YGR077C	0.810
YDR057W	1.156
YDR338C	1.323
YPL203W	0.990
YML035C	1.097
YPR109W	1.084
YKL159C	1.355
YIL038C	0.346
YHR011W	0.755
YNL213C	1.993
YBR201W	1.113
YBR084C-A	0.787
YNL064C	0.162
YMR316C-A	0.911
YNL055C	0.800
YMR027W	1.428
YKR035C	2.236
YNR002C	1.046
YHL014C	0.923
YLR221C	0.890
YDR469W	0.785
YJL068C	1.134
YGR124W	1.130
YMR226C	1.057
YER060W	1.068
YLL026W	0.942
YHR152W	1.217
YKL033W-A	0.978
YPL197C	1.153
YKL133C	0.901
YMR184W	0.872
YMR057C	0.497
YDR279W	1.163
YDR015C	1.979
YBR132C	1.153
YOR136W	0.881
YEL038W	0.902
YPR043W	0.855
YIL099W	1.061
YER116C	1.410
YPL148C	0.527
YNR048W	1.116
YLR390W-A	0.933
YOR129C	0.592
YMR302C	1.257
YBL012C	0.765
YHR179W	1.297
YIL130W	0.966
YBR199W	1.147
YPR037C	1.045
YOR367W	0.888
YER096W	1.049
YOR112W	1.063
YOR365C	0.888
YPR084W	1.364
YDR043C	0.449
YIL054W	0.951
YBL036C	0.919
YLR407W	1.424
YIL034C	0.918
YAL030W	0.943
YOR314W	1.044
YDR314C	1.394
YGR026W	1.031
YNL324W	1.287
YER184C	0.878
YNL105W	0.796
YGL045W	1.248
YLR189C	0.893
YPR153W	0.887
YOR104W	1.077
YML028W	0.007
YHR209W	1.317
YHR114W	1.133
YMR143W	1.159
YOR300W	1.049
YEL044W	1.924
YDR446W	0.790
YDR273W	-0.034
YJR044C	1.122
YJL042W	0.967
YGR144W	1.183
YCR009C	1.627
YOR055W	0.923
YOR346W	1.248
YMR116C	0.981
YJL175W	0.227
YLR182W	0.878
YKR082W	0.894
YKL115C	0.791
YLR077W	0.974
YDR514C	0.824
YOR302W	0.098
YGL078C	0.949
YML102C-A	1.686
YDR274C	0.205
YOL052C	0.209
YEL006W	1.302
YIL138C	0.993
YNL320W	1.017
YHR171W	0.788
YHL029C	0.872
YFR018C	0.997
YLR234W	1.140
YBR180W	1.103
YHR184W	1.329
YJR004C	0.932
YCR004C	1.124
YBR275C	0.974
YGL160W	1.089
YPR063C	0.786
YFR053C	0.907
YBL045C	0.812
YLR031W	0.920
YLR393W	0.866
YJL196C	1.132
YNL301C	0.989
YKL077W	0.623
YBR288C	1.214
