ORF	hap alpha | growth (culture turbidity) | standard | MM + (H–L)HKU + Trp | Cai H~Becker JM, 2006
YFL015C	1.179
YLR290C	0.651
YBR032W	1.647
YAL047C	0.494
YGL107C	0.956
YEL004W	0.176
YDL023C	1.063
YOR277C	1.195
YOL035C	0.892
YKL117W	1.276
YDR307W	1.960
YML008C	0.272
YGL139W	1.150
YIL155C	0.866
YCR037C	0.763
YMR251W-A	1.571
YEL052W	1.147
YDR490C	1.242
YKL124W	0.916
YBR212W	1.120
YKL185W	0.862
YAR047C	0.904
YIL060W	0.675
YMR284W	1.033
YDL154W	1.647
YDL101C	1.130
YLR376C	1.328
YGR281W	0.940
YGL262W	1.150
YMR241W	0.793
YKL113C	1.346
YDR042C	0.939
YDR354W	0.995
YLR042C	0.783
YLR107W	0.483
YEL051W	0.340
YDR179W-A	0.789
YML011C	1.005
YBR161W	0.913
YDL157C	1.651
YBR062C	1.361
YMR279C	1.121
YCL001W-A	0.860
YGR034W	1.362
YPR006C	1.231
YER130C	1.054
YKL039W	0.966
YBR276C	0.909
YKL123W	0.854
YOR305W	1.194
YKL194C	1.202
YLR121C	1.055
YJL030W	0.891
YJL207C	1.074
YIL134W	0.930
YAL010C	0.988
YLR400W	0.930
YMR065W	0.936
YBR296C	0.601
YJR020W	0.914
YJL218W	1.250
YJR069C	1.258
YNL206C	0.005
YDL211C	1.048
YCL057W	0.512
YGL086W	0.814
YNR005C	1.379
YJR113C	0.921
YPL074W	1.170
YMR018W	1.303
YKR033C	0.683
YLR056W	0.120
YLR206W	1.059
YIL165C	1.351
YPL224C	0.915
YPL207W	1.094
YOR182C	1.616
YDR383C	1.165
YDL117W	1.197
YGL253W	1.164
YMR060C	0.873
YJL060W	1.770
YJL007C	1.213
YGR138C	0.191
YOL013C	1.058
YOL082W	1.312
YHR021W-A	1.082
YIR018W	0.891
YIL059C	0.548
YDL182W	0.744
YOL089C	1.789
YDL077C	0.480
YNL274C	1.063
YIL073C	1.179
YPR068C	1.183
YNL015W	1.071
YNL257C	1.054
YFL019C	0.721
YHR021C	0.651
YBL024W	1.171
YBR183W	1.090
YLL012W	0.337
YCL063W	1.102
YDR508C	1.027
YMR068W	0.960
YCL058C	0.982
YPR174C	1.660
YPL105C	1.181
YKL118W	0.975
YOL075C	1.222
YAL051W	1.187
YHR106W	0.953
YDR121W	0.990
YBL072C	1.250
YNL074C	0.822
YNL024C	1.386
YEL047C	1.125
YEL061C	0.659
YJL112W	1.514
YNL123W	1.763
YKR035W-A	1.418
YNL196C	-0.485
YCR020C-A	1.226
YGR101W	1.260
YLR384C	1.642
YMR295C	0.652
YJL184W	0.119
YML088W	1.716
YIR020C	0.857
YGL149W	0.964
YDL227C	1.141
YGL180W	0.787
YLR023C	0.974
YLR210W	1.314
YMR111C	1.106
YGR130C	1.023
YGR036C	0.831
YIR039C	1.208
YKL032C	0.758
YMR071C	1.035
YNR010W	0.759
YGL114W	0.946
YMR185W	0.717
YOR354C	0.973
YOR058C	0.387
YGL164C	0.912
YCL042W	0.906
YLR362W	1.336
YDR275W	0.748
YDL112W	1.018
YNL073W	0.886
YDL114W	1.030
YCR079W	0.884
YDR249C	0.211
YBL083C	0.905
YBR184W	0.988
YPL062W	0.997
YMR210W	1.098
YKR012C	0.254
YKR090W	1.149
YPL040C	1.066
YDR251W	0.469
YNL022C	1.316
YCR071C	1.274
YDR438W	1.345
YOR092W	0.970
YNR057C	1.082
YLL041C	0.940
YLR413W	1.058
YMR110C	1.171
YPL139C	1.874
YLL042C	0.014
YBL090W	0.802
YJR142W	0.945
YKR070W	1.265
YDR440W	0.892
YJL082W	1.038
YDR484W	0.962
YMR064W	1.014
YGR105W	0.865
YML050W	0.495
YHR057C	1.042
YPR070W	1.108
YDR227W	0.902
YFL034C-A	1.009
YDL180W	0.185
YDL168W	0.326
YDR078C	1.041
YNL085W	1.027
YMR158W	0.846
YLR415C	0.795
YDR525W-A	1.051
YGR188C	0.973
YKR078W	0.921
YMR144W	1.349
YLL025W	1.542
YBL051C	1.098
YLR028C	0.451
YDR370C	0.958
YBR134W	0.874
YOR243C	0.792
